127.0.0.1 - - [27/Dec/2021:12:32:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Dec/2021:12:32:03 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [27/Dec/2021:12:32:20 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [27/Dec/2021:12:32:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2021:12:49:47 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:07:11 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:07:17 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:10:20 +0530] "POST /Project/Login.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:12:01 +0530] "POST /Project/Login.jsp HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:12:05 +0530] "POST /Project/Login.jsp HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:14:14 +0530] "GET /Project/Index.jsp HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:14:14 +0530] "GET /Project/img_avatar2.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:17:46 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:18:55 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:19:39 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:20:53 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:28:21 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:28:21 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:30:03 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:30:03 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:30:03 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:30:04 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:34:00 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:36:44 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:36:45 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:37:32 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:37:32 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:37:32 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:37:33 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [27/Dec/2021:13:37:46 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 1286
